,id,course_id,course_type,category,start_date,end_date,duration,start_tsp,end_tsp
274,11625,course-v1:TsinghuaX+20220332X+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
279,6457,course-v1:TsinghuaX+JRFX01+2016_TS,0,economics,2016-07-01,2016-09-01,62,1467331200,1472688000
283,11628,course-v1:TNUA+AN35006+2017_T2,0,art,2015-01-01,2017-12-25,1089,1420070400,1514160000
286,1605,course-v1:TsinghuaX+30150303X+2015_T2,0,art,2015-11-09,2016-03-14,126,1447027200,1457913600
293,11651,course-v1:TsinghuaX+00690342X+2017_T2,0,philosophy,2015-01-01,2017-12-25,1089,1420070400,1514160000
294,213,NCTU/DCT3082/2014_T2,0,social science,2015-01-01,2015-02-09,39,1420070400,1423440000
322,9974,course-v1:JNUX+jnu01023001X+2017_T1,0,foreign language,2017-03-10,2017-07-04,116,1489104000,1499126400
340,9698,course-v1:Stanfordx+SciWrite+2017_T1,0,foreign language,2017-03-15,2017-06-15,92,1489536000,1497484800
347,4377,course-v1:TsinghuaX+70250023X+2016_T1,0,electrical,2016-03-09,2016-07-20,133,1457481600,1468972800
352,11236,course-v1:TsinghuaX+00804723X+2017_T2,0,art,2015-01-01,2017-12-25,1089,1420070400,1514160000
355,1566,course-v1:TsinghuaX+00690242X_2015_2+2015_T2,0,literature,2015-09-01,2016-01-31,152,1441065600,1454198400
357,611,TsinghuaX/10421094_2015X/2015_T1,0,math,2015-03-10,2015-07-07,119,1425945600,1436227200
359,1475,course-v1:RiceX+AdvENVSCI_4x+_,0,environment,2015-08-20,2015-09-21,32,1440028800,1442793600
360,4476,course-v1:TsinghuaX+30320174X+2016_T1,0,physics,2016-02-24,2016-06-28,125,1456272000,1467072000
370,5056,course-v1:NUDT+000601502+_,0,physics,2016-10-10,2016-12-16,67,1476057600,1481846400
377,11685,course-v1:HIT+GH47100100+2017_T2,0,philosophy,2015-01-01,2017-12-25,1089,1420070400,1514160000
399,808,TsinghuaX/10430896X/2016_T1,0,physics,2016-03-15,2016-06-21,98,1458000000,1466467200
403,11336,course-v1:HLJUX+2017032101X+2017_T2,0,literature,2015-01-01,2017-12-25,1089,1420070400,1514160000
410,6909,course-v1:HIT+GH47100100+2016_T2,0,social science,2016-09-19,2016-11-25,67,1474243200,1480032000
411,11339,course-v1:TsinghuaX+10430494X_2015_2+2017_T2,0,physics,2015-01-01,2017-12-25,1089,1420070400,1514160000
414,688,tsinghuaSEM/00510888X/2015_T1,0,business,2015-01-01,2015-03-02,60,1420070400,1425254400
421,6669,course-v1:SEU+00690803+2016_T2,0,literature,2016-07-25,2016-12-23,151,1469404800,1482451200
423,5892,course-v1:HIT+13SD33000721+2016-5-2,0,engineering,2016-05-02,2016-07-17,76,1462147200,1468713600
442,692,RiceX/AdvENVSCI_1x/_,0,environment,2015-07-06,2015-09-01,57,1436140800,1441065600
445,4564,course-v1:TsinghuaX+00720091X+2016_T1,0,social science,2016-03-07,2016-06-11,96,1457308800,1465603200
451,7863,course-v1:TsinghuaX+00720091X+2016_T2,0,social science,2016-10-08,2016-12-23,76,1475884800,1482451200
454,527,TsinghuaX/10610183X/2016_T1,0,philosophy,2015-04-27,2015-12-12,229,1430092800,1449878400
466,548,TsinghuaX/20220053X/2015_T1,0,engineering,2015-03-02,2015-07-19,139,1425254400,1437264000
470,4375,course-v1:TsinghuaX+30640014X+2016_T1,0,foreign language,2016-02-22,2016-06-01,100,1456099200,1464739200
472,3510,course-v1:Tsinghua+20150001+2015_T2,0,social science,2015-12-25,2016-09-02,252,1451001600,1472774400
486,4441,course-v1:TsinghuaX+80140242X+2016_T2,0,engineering,2016-11-14,2017-02-20,98,1479081600,1487548800
488,1557,course-v1:TsinghuaX+10430494X_2015_2+2015_T2,0,physics,2015-09-14,2016-02-05,144,1442188800,1454630400
489,11137,course-v1:TsinghuaX+THU00013X+2017_T2,0,business,2015-01-01,2017-12-25,1089,1420070400,1514160000
493,1587,course-v1:TsinghuaX+20250064_1X+2015_T2,0,engineering,2015-10-12,2016-01-22,102,1444608000,1453420800
498,11623,course-v1:Tsinghua+dbcj_20150001+2017_T1,0,education,2017-05-16,2017-08-16,92,1494892800,1502841600
499,1896,course-v1:TsinghuaX+30640014_2015sX+2015_T2,0,foreign language,2015-07-06,2015-07-31,25,1436140800,1438300800
502,9940,course-v1:TsinghuaX+80000271X+2017_T1,0,social science,2017-03-15,2017-06-25,102,1489536000,1498348800
505,1585,course-v1:TsinghuaX+30640014+2015_T2,0,foreign language,2015-09-21,2016-01-01,102,1442793600,1451606400
521,9728,course-v1:CIE+JD_2017+2017_T1,0,business,2017-03-14,2017-05-20,67,1489449600,1495238400
531,11816,course-v1:TsinghuaX+40670702X+2017_T2,0,art,2015-01-01,2017-12-25,1089,1420070400,1514160000
533,844,TsinghuaX/AP000005X/2015_T2,0,math,2015-10-29,2016-05-30,214,1446076800,1464566400
535,1442,course-v1:MITx+6_00_1x+2015_T1,0,computer,2015-06-10,2015-09-15,97,1433894400,1442275200
536,4345,course-v1:TsinghuaX+20250103X+2016_T1,0,electrical,2016-02-29,2016-06-13,105,1456704000,1465776000
537,10130,course-v1:WellesleyX+HIST229x+2017_T1,0,social science,2017-03-15,2017-07-05,112,1489536000,1499212800
542,2905,course-v1:MITx+6_00_1x+2015_T2,0,computer,2016-07-01,2016-09-01,62,1467331200,1472688000
543,9150,course-v1:SCU+00011142+2017_T1,0,literature,2017-02-20,2017-05-29,98,1487548800,1496016000
552,11749,course-v1:TsinghuaX+TsinghuaMandarin01+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
562,7721,course-v1:ustcX+LB05203_a+2016_T2,0,computer,2016-09-26,2016-12-07,72,1474848000,1481068800
581,167,TsinghuaX/30140393X/_,0,physics,2015-01-01,2015-01-31,30,1420070400,1422662400
586,11332,course-v1:CIE+CIE2016005+2017_T2,0,business,2015-01-01,2017-12-25,1089,1420070400,1514160000
589,598,JLUx/0000045603/2015_T1,0,biology,2015-05-05,2015-08-31,118,1430784000,1440979200
597,4371,course-v1:TsinghuaX+70120073X+2016_T1,0,physics,2016-02-22,2016-06-23,122,1456099200,1466640000
604,85,MITx/15_390x/2014_T2,0,business,2015-01-01,2015-02-10,40,1420070400,1423526400
606,1516,course-v1:RiceX+AdvBIO_4x+_,0,biology,2015-07-06,2015-08-31,56,1436140800,1440979200
629,6856,course-v1:TsinghuaX+80000901X+2016-2,0,history,2016-09-12,2017-01-13,123,1473638400,1484265600
632,6778,course-v1:NJU+010101+2016-T2,0,philosophy,2016-09-01,2017-01-19,140,1472688000,1484784000
649,542,TsinghuaX/20330334_2015X/2015_T1,0,engineering,2015-03-09,2015-07-31,144,1425859200,1438300800
662,514,TsinghuaX/70250023_2015X/2015_T1,0,electrical,2015-03-11,2015-07-31,142,1426032000,1438300800
667,11330,course-v1:JNUX+jnu01009538X+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
689,9869,course-v1:CYCU+cycusllckx+2017_T1,0,philosophy,2017-03-31,2017-06-30,91,1490918400,1498780800
695,8615,course-v1:HITx+13SC03100710_2x+2017_T1,0,computer,2017-01-05,2017-05-01,116,1483574400,1493596800
721,165,TsinghuaX/10610204X/_,0,philosophy,2015-01-01,2015-01-19,18,1420070400,1421625600
731,3633,course-v1:TsinghuaX+00460032X+_,0,social science,2015-11-26,2016-02-26,92,1448496000,1456444800
732,4586,course-v1:TsinghuaX+40250074X+2016_T2,0,engineering,2016-10-22,2017-02-28,129,1477094400,1488240000
741,11282,course-v1:TsinghuaX+30803273X+2017_T2,0,art,2015-01-01,2017-12-25,1089,1420070400,1514160000
754,545,TsinghuaX/20240103X/2015_T2,0,computer,2015-09-21,2016-01-18,119,1442793600,1453075200
763,11680,course-v1:UC_BerkeleyX+ColWri2_1x_2015_T1+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
771,4606,course-v1:TsinghuaX+30806872X+2016_T1,0,history,2016-06-20,2016-09-01,73,1466380800,1472688000
783,4445,course-v1:TsinghuaX+30803273X+2016_T2,0,art,2016-12-01,2017-06-20,201,1480550400,1497916800
786,645,SDUx/00931800/2015_T1,0,math,2015-03-02,2015-07-23,143,1425254400,1437609600
788,4448,course-v1:TsinghuaX+70230063X+2016_T2,0,computer,2016-11-09,2017-01-31,83,1478649600,1485820800
801,3616,course-v1:HIT+13SD08000500+_,0,engineering,2015-11-17,2016-04-02,137,1447718400,1459555200
814,503,TsinghuaX/00690342X/2015_T1,0,philosophy,2015-09-16,2016-01-20,126,1442361600,1453248000
823,193,TsinghuaX/30240184X/2014_T2,0,computer,2015-01-01,2015-03-18,76,1420070400,1426636800
828,9860,course-v1:DYU+dyuglbbx+2017_T1,0,economics,2017-03-27,2017-06-05,70,1490572800,1496620800
831,4145,course-v1:TJU+4240001+_,0,economics,2016-04-18,2016-07-04,77,1460937600,1467590400
840,529,TsinghuaX/70167012_2015X/2015_T1,0,art,2015-05-15,2015-08-07,84,1431648000,1438905600
853,723,TsinghuaX/60510102X/_,0,business,2015-10-08,2016-02-12,127,1444262400,1455235200
864,2765,course-v1:TsinghuaX+80000901X_2015T2+2015T2,0,history,2015-09-14,2016-01-28,136,1442188800,1453939200
870,4359,course-v1:TsinghuaX+00740113_1X+2016_T1,0,computer,2016-03-01,2016-07-15,136,1456790400,1468540800
872,570,NTHU/MOOC_00_001/2015_T1,0,engineering,2015-03-02,2015-07-31,151,1425254400,1438300800
874,8145,course-v1:RiceX+BIOC372_2x+2016_T2,0,biology,2016-11-28,2017-01-30,63,1480291200,1485734400
878,4488,course-v1:TsinghuaX+8015019X+2016_T1,0,engineering,2016-02-25,2016-06-09,105,1456358400,1465430400
883,574,TsinghuaX/00510888X/2015_T1,0,business,2015-03-16,2015-08-31,168,1426464000,1440979200
895,4552,course-v1:TsinghuaX+MOOC101+2016_T1,0,education,2016-03-01,2016-05-31,91,1456790400,1464652800
925,5386,course-v1:SDUx+sd01020140+2016_T1,0,physics,2016-03-01,2016-05-10,70,1456790400,1462838400
942,5187,course-v1:HIT+13SD33000721+2016_T1,0,engineering,2016-03-01,2016-07-08,129,1456790400,1467936000
950,3126,course-v1:SDUx+sd010201401+2015_T2,0,physics,2015-10-28,2015-12-28,61,1445990400,1451260800
953,793,TsinghuaX/AP000004X/2015_T2,0,math,2015-10-12,2016-04-06,177,1444608000,1459900800
958,546,TsinghuaX/30150153X/2016_T2,0,engineering,2015-09-14,2016-02-22,161,1442188800,1456099200
960,3069,course-v1:SDUx+sd01020140+2015_T2,0,physics,2016-09-06,2016-11-23,78,1473120000,1479859200
983,660,SDUx/131000110/2015_T1,0,computer,2015-03-31,2015-07-01,92,1427760000,1435708800
986,1589,course-v1:TsinghuaX+40040152X+2015_T2,0,engineering,2015-09-11,2016-01-14,125,1441929600,1452729600
995,4555,course-v1:TsinghuaX+20330334X+2016_T1,0,physics,2016-03-01,2016-06-29,120,1456790400,1467158400
1004,4487,course-v1:TsinghuaX+80000822X+2016_T1,0,art,2016-02-22,2016-06-07,106,1456099200,1465257600
1008,202,TsinghuaX/30640014X/2014_T2,0,foreign language,2015-01-01,2015-01-22,21,1420070400,1421884800
1012,11814,course-v1:NU+14051301+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
1016,4491,course-v1:TsinghuaX+00740043X+2016_T1,0,computer,2016-02-22,2016-08-31,191,1456099200,1472601600
1019,11111,course-v1:TsinghuaX+20220214X+2017_T2,0,engineering,2015-01-01,2017-12-25,1089,1420070400,1514160000
1021,2024,course-v1:TsinghuaX+MOOC101_2015_2+2015_T2,0,education,2015-09-05,2016-01-01,118,1441411200,1451606400
1022,613,TsinghuaX/10421102X/2015_T1,0,math,2015-03-24,2015-07-24,122,1427155200,1437696000
1028,846,TsinghuaX/THUSEM010/_,0,computer,2015-05-18,2015-06-22,35,1431907200,1434931200
1035,11242,course-v1:MicrosoftX+Microsoft101+2017_T2,0,computer,2015-01-01,2017-12-25,1089,1420070400,1514160000
1041,5387,course-v1:SDUx+sd010201402+2016_T1,0,physics,2016-04-12,2016-06-21,70,1460419200,1466467200
1043,9857,course-v1:BerkeleyX+CS169_1x+2017_T1,0,computer,2017-03-15,2017-05-25,71,1489536000,1495670400
1048,630,TsinghuaX/10421094X_2015wv/2015_winter_vacation,0,math,2015-02-06,2015-03-01,23,1423180800,1425168000
1049,6479,course-v1:HIT+GO90801500+2016_TS,0,art,2016-07-01,2016-09-01,62,1467331200,1472688000
1053,11806,course-v1:TsinghuaX+20320074X+2017_T2,0,electrical,2015-01-01,2017-12-25,1089,1420070400,1514160000
1059,4568,course-v1:TsinghuaX+60510102X+2016_T1,0,business,2016-03-15,2016-06-30,107,1458000000,1467244800
1062,502,TsinghuaX/40040152X/2015_T1,0,engineering,2015-03-06,2015-07-09,125,1425600000,1436400000
1064,2255,course-v1:SC46002+CSU+2015_T2,0,economics,2015-09-14,2016-01-15,123,1442188800,1452816000
1067,11656,course-v1:TsinghuaX+400182X+2017_T2,0,biology,2015-01-01,2017-12-25,1089,1420070400,1514160000
1073,6655,course-v1:HIT+13SD33000721+2016_TS,0,engineering,2016-07-09,2016-09-01,54,1468022400,1472688000
1076,517,TsinghuaX/40050455_2015X/2015_T1,0,engineering,2015-03-02,2015-07-31,151,1425254400,1438300800
1094,11260,course-v1:Stanford+Econ1+2017_T2,0,business,2015-01-01,2017-12-25,1089,1420070400,1514160000
1105,2927,course-v1:NTNU+GE10402+2015_T2,0,art,2015-10-15,2015-12-17,63,1444867200,1450310400
1117,535,TsinghuaX/30040323X/2015_T1,0,engineering,2015-03-02,2015-07-31,151,1425254400,1438300800
1125,11697,course-v1:NTHU+CS01026+2017_T2,0,computer,2015-01-01,2017-12-25,1089,1420070400,1514160000
1129,11340,course-v1:CIE+CIE2016005_+2017_T2,0,business,2015-01-01,2017-12-25,1089,1420070400,1514160000
1130,11294,course-v1:JNUX+07009156X+2017_T2,0,medicine,2015-01-01,2017-12-25,1089,1420070400,1514160000
1141,1630,course-v1:McGillX+Chem181x+2015_T1,0,chemistry,2017-03-15,2017-03-15,0,1489536000,1489536000
1145,552,TsinghuaX/20140064X/2015_T2,0,engineering,2015-09-28,2016-01-21,115,1443398400,1453334400
1153,11772,course-v1:HUBU+20170227X+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
1154,11208,course-v1:TsinghuaX+80512073X+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
1161,9141,course-v1:SEU+00690803+2017_T1,0,literature,2017-02-20,2017-05-22,91,1487548800,1495411200
1164,4565,course-v1:TsinghuaX+80000901X+2016_T1,0,history,2016-03-07,2016-07-31,146,1457308800,1469923200
1169,1790,course-v1:TsinghuaX+00740043_2x_2015_T2+2015_T2,0,computer,2015-09-18,2016-01-30,134,1442534400,1454112000
1176,7273,course-v1:TsinghuaX+THU00001X+2016_T2,0,business,2016-09-26,2016-12-19,84,1474848000,1482105600
1186,693,RiceX/AdvBIO_1x/_,0,biology,2015-07-06,2015-08-31,56,1436140800,1440979200
1192,4559,course-v1:TsinghuaX+10450034_1X+2016_T1,0,biology,2016-03-16,2016-06-16,92,1458086400,1466035200
1196,5965,course-v1:SEU+00690803+2016_T1,0,literature,2016-07-01,2016-09-01,62,1467331200,1472688000
1198,4138,course-v1:WHU+0800773+_,0,computer,2017-01-16,2017-04-30,104,1484524800,1493510400
1205,254,MITx/6_00_1x/2014_T2,0,computer,2015-01-26,2015-04-23,87,1422230400,1429747200
1207,11756,course-v1:TsinghuaX+00701032X+2017_T2,0,social science,2015-01-01,2017-12-25,1089,1420070400,1514160000
1208,9170,course-v1:TsinghuaX+90640012X+2017_T1,0,foreign language,2017-02-20,2017-06-07,107,1487548800,1496793600
1212,11629,course-v1:TsinghuaX+30640014X+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
1224,9448,course-v1:NTHU+MOOC_02_002+2017_T1,0,biology,2017-02-27,2017-04-23,55,1488153600,1492905600
1225,4360,course-v1:TsinghuaX+00740113_2X+2016_T1,0,computer,2016-02-24,2016-08-03,161,1456272000,1470182400
1226,6779,course-v1:TsinghuaX+70800232X+2016-T2,0,art,2016-09-12,2017-01-05,115,1473638400,1483574400
1231,9172,course-v1:TsinghuaX+10610183_2X+2017_T1,0,philosophy,2017-02-20,2017-05-12,81,1487548800,1494547200
1236,11815,course-v1:XJTU+ME-XMGL2013-014X+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
1238,7763,course-v1:BIT+BIT2016001+2016_T2,0,computer,2016-10-10,2016-12-25,76,1476057600,1482624000
1246,845,TsinghuaX/THUSEM009/_,0,economics,2015-05-18,2015-06-22,35,1431907200,1434931200
1251,560,TsinghuaX/30350161X/2015_T1,0,engineering,2015-03-23,2015-08-09,139,1427068800,1439078400
1256,4344,course-v1:TsinghuaX+00690092X+2016_T1,0,philosophy,2016-03-01,2016-06-17,108,1456790400,1466121600
1269,4364,course-v1:TsinghuaX+10610183_2X+2016_T1,0,social science,2016-02-22,2016-08-16,176,1456099200,1471305600
1281,11261,course-v1:HIT+13SC20301820+2017_T2,0,economics,2015-01-01,2017-12-25,1089,1420070400,1514160000
1287,11219,course-v1:WellesleyX+ANTH207x+2017_T2,0,biology,2015-01-01,2017-12-25,1089,1420070400,1514160000
1288,642,edX/BlendedX/_,0,education,2015-06-09,2016-08-18,436,1433808000,1471478400
1304,1707,course-v1:TsinghuaX+20430064X+2015_T2,0,physics,2015-09-18,2016-01-15,119,1442534400,1452816000
1306,573,TsinghuaX/20740084X/2015_T2,0,computer,2015-09-18,2016-03-14,178,1442534400,1457913600
1313,11709,course-v1:RiceX+RELI157x+2017_T2,0,social science,2015-01-01,2017-12-25,1089,1420070400,1514160000
1316,508,TsinghuaX/30700313_2015X/2015_T1,0,social science,2015-03-04,2015-07-21,139,1425427200,1437436800
1328,6430,course-v1:TsinghuaX+80512073X+2016_TS,0,economics,2016-07-01,2016-09-01,62,1467331200,1472688000
1346,11873,course-v1:TsinghuaX+00690863X+2017_T2,0,literature,2015-01-01,2017-12-25,1089,1420070400,1514160000
1350,9178,course-v1:TsinghuaX+00740043_1x+2017_T1,0,computer,2017-02-20,2017-05-31,100,1487548800,1496188800
1354,4550,course-v1:TsinghuaX+00690212X+2016_T1,0,history,2016-03-14,2016-06-30,108,1457913600,1467244800
1358,1446,course-v1:RiceX+AdvBIO_5x+_,0,biology,2015-08-11,2015-09-14,34,1439251200,1442188800
1362,2046,course-v1:HIT+13SC20301820+2015_T2,0,economics,2015-09-01,2016-01-24,145,1441065600,1453593600
1365,6922,course-v1:TsinghuaX+AP000004X+2016-2,0,math,2016-09-16,2017-01-08,114,1473984000,1483833600
1377,11793,course-v1:JNUX+jnu01023008X+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
1390,1839,course-v1:TsinghuaX+00690242+2015_TS,0,literature,2015-07-13,2016-01-25,196,1436745600,1453680000
1391,6934,course-v1:TsinghuaX+AP000001X+2016T2,0,chemistry,2016-09-16,2017-01-03,109,1473984000,1483401600
1397,9165,course-v1:TsinghuaX+00690242X+2017_T1,0,history,2017-02-20,2017-07-01,131,1487548800,1498867200
1398,11251,course-v1:TsinghuaX+60250131X+2017_T2,0,computer,2015-01-01,2017-12-25,1089,1420070400,1514160000
1406,3196,course-v1:SCU+00011142+2015_T2,0,literature,2015-10-01,2016-01-31,122,1443657600,1454198400
1409,4556,course-v1:TsinghuaX+00310222X+2016_T1,0,physics,2016-03-01,2016-07-31,152,1456790400,1469923200
1419,11627,course-v1:CYCU+cycusheji+2017_T2,0,art,2015-01-01,2017-12-25,1089,1420070400,1514160000
1423,1445,course-v1:RiceX+AdvBIO_3x+_,0,biology,2015-07-06,2015-08-31,56,1436140800,1440979200
1424,9118,course-v1:TsinghuaX+10421084X+2017-T1,0,math,2017-02-27,2017-06-15,108,1488153600,1497484800
1434,550,TsinghuaX/AP000000X/2015_T2,0,chemistry,2015-09-01,2016-01-17,138,1441065600,1452988800
1440,11453,course-v1:TsinghuaX+10610224X+2017_T2,0,philosophy,2015-01-01,2017-12-25,1089,1420070400,1514160000
1441,9990,course-v1:UQx+Write101_x+2017_T1,0,foreign language,2017-03-15,2017-05-31,77,1489536000,1496188800
1447,4447,course-v1:TsinghuaX+00040132X+2016_T1,0,art,2016-04-19,2016-08-25,128,1461024000,1472083200
1452,9620,course-v1:JNUX+jnu105590ma18X+2017_T1,0,philosophy,2017-05-03,2017-07-05,63,1493769600,1499212800
1457,4399,course-v1:TsinghuaX+THU201602+2016_T1,0,electrical,2016-03-14,2016-06-30,108,1457913600,1467244800
1460,183,TsinghuaX/00690242_1X_2014/2014_T2,0,literature,2015-01-01,2015-02-26,56,1420070400,1424908800
1476,4365,course-v1:TsinghuaX+10421145X+2016_T1,0,math,2016-02-22,2016-06-13,112,1456099200,1465776000
1480,11239,course-v1:MITx+6_041x+2017_T2,0,math,2015-01-01,2017-12-25,1089,1420070400,1514160000
1482,1781,course-v1:Tsinghuax+10421065X_2015_T2+2015_T2,0,math,2015-09-14,2016-01-08,116,1442188800,1452211200
1484,11650,course-v1:CYCU+cycusllckx+2017_T2,0,philosophy,2015-01-01,2017-12-25,1089,1420070400,1514160000
1486,6443,course-v1:TsinghuaX+00690212X+2016_TS,0,philosophy,2016-07-01,2016-09-01,62,1467331200,1472688000
1487,8152,course-v1:UQx+Write101_x+2016_T2,0,foreign language,2016-11-14,2017-01-16,63,1479081600,1484524800
1501,11,WellesleyX/HIST229x/_,0,literature,2015-11-12,2016-03-15,124,1447286400,1458000000
1508,7438,course-v1:TsinghuaX+30040352X+2016_T2,0,environment,2016-10-27,2017-01-24,89,1477526400,1485216000
1515,160,TsinghuaX/00691153X/_,0,history,2015-09-09,2016-02-09,153,1441756800,1454976000
1519,11708,course-v1:UC_BerkeleyX+ColWri2_3x_2015_T1+2017_T2,0,foreign language,2015-01-01,2017-12-25,1089,1420070400,1514160000
1526,6544,course-v1:NCTU+toc+2016_T2,0,economics,2016-09-20,2016-12-20,91,1474329600,1482192000
1528,4403,course-v1:TsinghuaX+80611322X+2016_T2,0,social science,2016-09-15,2016-12-23,99,1473897600,1482451200
1530,5058,course-v1:NUDT+082501502+_,0,engineering,2016-05-10,2016-07-24,75,1462838400,1469318400
1534,11231,course-v1:TsinghuaX+30806872X+2017_T2,0,history,2015-01-01,2017-12-25,1089,1420070400,1514160000
1537,572,TsinghuaX/00740113X/2015_T2,0,computer,2015-04-02,2015-08-11,131,1427932800,1439251200
1540,10001,course-v1:TsinghuaX+70230063X+2017_T1,0,computer,2017-04-03,2017-06-18,76,1491177600,1497744000
1550,709,TsinghuaX/THUSEM002/_,0,economics,2015-03-20,2015-04-24,35,1426809600,1429833600
1554,566,TsinghuaX/40130653X/2015_T2,0,engineering,2015-09-14,2016-01-18,126,1442188800,1453075200
